fiber,5,roate 10001,seder 00022,filch 22000,aband 01000,fiber 22222,,,,
caddy,5,roate 00100,nails 02000,bawds 02010,apace 10010,caddy 22222,,,,
macaw,5,roate 00100,nails 01000,gamas 02120,aahed 12000,macaw 22222,,,,
musky,5,roate 00000,clips 00001,hanky 00022,aahed 00000,musky 22222,,,,
tatty,5,roate 00110,tinct 10001,abaft 10001,abamp 10000,tatty 22222,,,,
rover,5,roate 12001,hwyls 00000,acker 00021,aargh 00100,rover 22222,,,,
jolly,5,roate 02000,bludy 01002,faugh 00000,ablow 00110,jolly 22222,,,,
joker,5,roate 12001,hwyls 00000,acker 00222,abamp 00000,joker 22222,,,,
dimly,5,roate 00000,clips 01100,baldy 00112,abamp 00010,dimly 22222,,,,
brood,5,roate 11000,croon 02220,abamp 01000,aahed 00002,brood 22222,,,,
freak,5,roate 10101,malar 00021,backs 01010,abaft 10010,freak 22222,,,,
shell,5,roate 00001,lenes 11001,bumph 00001,abaft 00000,shell 22222,,,,
bushy,5,roate 00000,clips 00001,hanky 10002,abaca 01000,bushy 22222,,,,
dilly,5,roate 00000,clips 01100,baldy 00112,abamp 00000,dilly 22222,,,,
snuff,5,roate 00000,clips 00001,hanky 00100,aargh 00000,snuff 22222,,,,
buyer,5,roate 10001,seder 00022,filch 00000,abaca 01000,buyer 22222,,,,
finch,5,roate 00000,clips 10100,acmic 01010,abaft 00010,finch 22222,,,,
shelf,5,roate 00001,lenes 11001,bumph 00001,abaft 00010,shelf 22222,,,,
caper,5,roate 10101,malar 02002,gawsy 02000,abaca 10010,caper 22222,,,,
boxer,5,roate 12001,hwyls 00000,acker 00022,abamp 01000,boxer 22222,,,,
mammy,5,roate 00100,nails 02000,bawds 02000,abamp 10010,mammy 22222,,,,
giver,5,roate 10001,seder 00022,filch 02000,amped 00020,giver 22222,,,,
merge,5,roate 10001,seder 01001,civvy 00000,aargh 00220,merge 22222,,,,
jerky,5,roate 10001,seder 02001,carby 00202,abamp 00000,jerky 22222,,,,
upper,5,roate 10001,seder 00022,filch 00000,abaca 00000,upper 22222,,,,
latch,5,roate 00110,tinct 10020,bumph 00002,aalii 02100,latch 22222,,,,
wight,5,roate 00010,knish 00101,mulct 00002,abaft 00002,wight 22222,,,,
mover,5,roate 12001,hwyls 00000,acker 00022,abamp 00010,mover 22222,,,,
swung,5,roate 00000,clips 00001,hanky 00100,aargh 00010,swung 22222,,,,
dummy,5,roate 00000,clips 00000,bandh 00010,addax 01000,dummy 22222,,,,
piper,5,roate 10001,seder 00022,filch 02000,amped 00120,piper 22222,,,,
wield,5,roate 00001,lenes 11000,delly 11020,abaft 00000,wield 22222,,,,
filly,5,roate 00000,clips 01100,baldy 00102,cahow 00000,filly 22222,,,,
liner,5,roate 10001,seder 00022,filch 02100,aband 00010,liner 22222,,,,
saner,5,roate 10101,malar 02002,gawsy 02010,abaft 10000,saner 22222,,,,
moody,5,roate 01000,blins 00000,dawah 10000,aargh 00000,moody 22222,,,,
fuzzy,5,roate 00000,clips 00000,bandh 00000,agama 00000,fuzzy 22222,,,,
cubic,5,roate 00000,clips 10100,acmic 01022,abaca 01010,cubic 22222,,,,
hilly,5,roate 00000,clips 01100,baldy 00102,cahow 00100,hilly 22222,,,,
miner,5,roate 10001,seder 00022,filch 02000,amped 01020,miner 22222,,,,
dusky,5,roate 00000,clips 00001,hanky 00022,aahed 00001,dusky 22222,,,,
brook,5,roate 11000,croon 02220,abamp 01000,aahed 00000,brook 22222,,,,
jazzy,5,roate 00100,nails 02000,bawds 02000,abamp 10000,jazzy 22222,,,,
viper,5,roate 10001,seder 00022,filch 02000,amped 00220,viper 22222,,,,
mushy,5,roate 00000,clips 00001,hanky 10002,abaca 00000,mushy 22222,,,,
waver,5,roate 10101,malar 02002,gawsy 02100,abaft 10000,waver 22222,,,,
wafer,5,roate 10101,malar 02002,gawsy 02100,abaft 10010,wafer 22222,,,,
wreak,5,roate 10101,malar 00021,backs 01010,abaft 10000,wreak 22222,,,,
fight,5,roate 00010,knish 00101,mulct 00002,abaft 00012,fight 22222,,,,
slunk,5,roate 00000,clips 02001,abash 00010,aargh 00000,slunk 22222,,,,
merry,5,roate 10001,seder 02001,carby 00102,abaft 00000,merry 22222,,,,
paddy,5,roate 00100,nails 02000,bawds 02010,apace 11000,paddy 22222,,,,
fizzy,5,roate 00000,clips 00100,dungy 00002,abuzz 00010,fizzy 22222,,,,
fried,5,roate 10001,seder 00121,cided 01022,abaft 00010,fried 22222,,,,
milky,5,roate 00000,clips 01100,baldy 00202,abaft 00000,milky 22222,,,,
hedge,5,roate 00001,lenes 01000,dicky 10000,aahed 00111,hedge 22222,,,,
tight,5,roate 00010,knish 00101,mulct 00001,aargh 00011,tight 22222,,,,
fully,5,roate 00000,clips 01000,baked 00000,aargh 00000,fully 22222,,,,
gummy,5,roate 00000,clips 00000,bandh 00000,agama 01010,gummy 22222,,,,
happy,5,roate 00100,nails 02000,bawds 02000,abamp 10001,happy 22222,,,,
visor,5,roate 11000,croon 01020,firer 02002,aargh 00100,visor 22222,,,,
vaunt,5,roate 00110,tinct 00102,dight 00002,advew 10100,vaunt 22222,,,,
willy,5,roate 00000,clips 01100,baldy 00102,cahow 00001,willy 22222,,,,
roger,5,roate 12001,hwyls 00000,acker 00021,aargh 00110,roger 22222,,,,
shave,5,roate 00202,plums 00001,ached 10110,abaka 00200,shave 22222,,,,
cigar,4,roate 10100,amias 00120,aargh 10110,cigar 22222,,,,,
sissy,4,roate 00000,clips 00101,assai 01101,sissy 22222,,,,,
humph,4,roate 00000,clips 00020,acidy 00000,humph 22222,,,,,
awake,4,roate 00102,salmi 01000,aargh 10000,awake 22222,,,,,
blush,4,roate 00000,clips 02001,abash 01022,blush 22222,,,,,
focal,4,roate 02100,nidal 00022,abaft 10010,focal 22222,,,,,
serve,4,roate 10001,seder 21001,aargh 00200,serve 22222,,,,,
dwarf,4,roate 10200,chins 00000,abord 10021,dwarf 22222,,,,,
karma,4,roate 10100,amias 11010,aahed 12000,karma 22222,,,,,
grade,4,roate 10202,clags 00210,paved 01011,grade 22222,,,,,
quiet,4,roate 00011,seeld 01000,bidet 01022,quiet 22222,,,,,
bench,4,roate 00001,lenes 02200,abaca 01020,bench 22222,,,,,
feign,4,roate 00001,lenes 02100,bidon 01002,feign 22222,,,,,
major,4,roate 11100,macon 22020,abaya 10000,major 22222,,,,,
fresh,4,roate 10001,seder 11001,aheap 01200,fresh 22222,,,,,
stool,4,roate 01010,spoot 20221,aahed 00000,stool 22222,,,,,
colon,4,roate 01000,blins 01010,ablow 00210,colon 22222,,,,,
abase,4,roate 00102,salmi 11000,aahed 10010,abase 22222,,,,,
marry,4,roate 10100,amias 11000,aahed 02000,marry 22222,,,,,
batty,4,roate 00110,tinct 10001,abaft 11001,batty 22222,,,,,
floss,4,roate 01000,blins 02001,brogh 00200,floss 22222,,,,,
helix,4,roate 00001,lenes 12000,baith 00101,helix 22222,,,,,
staff,4,roate 00210,skint 20001,afald 01200,staff 22222,,,,,
unfed,4,roate 00001,lenes 00120,fidge 10101,unfed 22222,,,,,
whelp,4,roate 00001,lenes 11000,delly 01020,whelp 22222,,,,,
trawl,4,roate 10210,tinct 20000,ables 10100,trawl 22222,,,,,
outdo,4,roate 01010,spoot 00111,acted 00201,outdo 22222,,,,,
crazy,4,roate 10200,chins 20000,abysm 10100,crazy 22222,,,,,
digit,4,roate 00010,knish 00100,bidet 01102,digit 22222,,,,,
spike,4,roate 00002,pling 10200,abaca 00000,spike 22222,,,,,
mimic,4,roate 00000,clips 10100,acmic 00112,mimic 22222,,,,,
maxim,4,roate 00100,nails 02100,ached 10000,maxim 22222,,,,,
linen,4,roate 00001,lenes 20120,abrin 00011,linen 22222,,,,,
unmet,4,roate 00011,seeld 01000,bidet 00022,unmet 22222,,,,,
flesh,4,roate 00001,lenes 11001,bumph 00002,flesh 22222,,,,,
booby,4,roate 01000,blins 10000,agama 00000,booby 22222,,,,,
belly,4,roate 00001,lenes 12000,baith 20000,belly 22222,,,,,
ivory,4,roate 11000,croon 01200,acyls 00100,ivory 22222,,,,,
seedy,4,roate 00001,lenes 01001,cogie 00001,seedy 22222,,,,,
drain,4,roate 10200,chins 00110,aband 00211,drain 22222,,,,,
bribe,4,roate 10002,dimps 01000,aband 01000,bribe 22222,,,,,
stout,4,roate 01010,spoot 20201,acidy 00000,stout 22222,,,,,
panel,4,roate 00101,nebel 10022,aahed 02020,panel 22222,,,,,
flume,4,roate 00002,pling 02000,abaka 00000,flume 22222,,,,,
offal,4,roate 01100,nicol 00012,aahed 10000,offal 22222,,,,,
agree,4,roate 10101,malar 01001,aahed 20010,agree 22222,,,,,
bleed,4,roate 00001,lenes 11020,bumph 20000,bleed 22222,,,,,
flick,4,roate 00000,clips 12200,abaca 00020,flick 22222,,,,,
shrub,4,roate 10000,sculk 20100,aargh 00201,shrub 22222,,,,,
parry,4,roate 10100,amias 10000,carap 02101,parry 22222,,,,,
biome,4,roate 01002,clons 00200,aahed 00010,biome 22222,,,,,
lapel,4,roate 00101,nebel 00021,aahed 02020,lapel 22222,,,,,
golem,4,roate 02001,maven 10020,aahed 00020,golem 22222,,,,,
loopy,4,roate 01000,blins 01000,acold 00110,loopy 22222,,,,,
audit,4,roate 00110,tinct 01002,abamp 20000,audit 22222,,,,,
lying,4,roate 00000,clips 01200,aband 00020,lying 22222,,,,,
gamma,4,roate 00100,nails 01000,gamas 21100,gamma 22222,,,,,
labor,4,roate 11100,macon 02020,elves 01000,labor 22222,,,,,
civic,4,roate 00000,clips 10100,acmic 01012,civic 22222,,,,,
basic,4,roate 00100,nails 02101,abaca 11010,basic 22222,,,,,
salad,4,roate 00100,nails 01011,abaca 10100,salad 22222,,,,,
spray,4,roate 10100,amias 00021,abamp 10001,spray 22222,,,,,
essay,4,roate 00101,nebel 01000,acers 10101,essay 22222,,,,,
fjord,4,roate 11000,croon 01200,acyls 00000,fjord 22222,,,,,
guild,4,roate 00000,clips 01200,aband 00002,guild 22222,,,,,
aback,4,roate 00100,nails 01000,gamas 01010,aback 22222,,,,,
motor,4,roate 11010,snoot 00121,abamp 00010,motor 22222,,,,,
hatch,4,roate 00110,tinct 10020,bumph 00001,hatch 22222,,,,,
hyper,4,roate 10001,seder 00022,filch 00001,hyper 22222,,,,,
thumb,4,roate 00010,knish 00001,abaca 01000,thumb 22222,,,,,
belch,4,roate 00001,lenes 12000,baith 20002,belch 22222,,,,,
dutch,4,roate 00010,knish 00002,aahed 00101,dutch 22222,,,,,
pilot,4,roate 01010,spoot 01022,aalii 00210,pilot 22222,,,,,
abyss,4,roate 00100,nails 01001,abeam 22000,abyss 22222,,,,,
growl,4,roate 11000,croon 02200,gilds 20100,growl 22222,,,,,
fling,4,roate 00000,clips 02200,abaka 00000,fling 22222,,,,,
dozen,4,roate 02001,maven 00022,aahed 00021,dozen 22222,,,,,
boozy,4,roate 01000,blins 20000,abamp 01000,boozy 22222,,,,,
click,4,roate 00000,clips 12200,abaca 00010,click 22222,,,,,
briar,4,roate 10100,amias 00220,abaca 11000,briar 22222,,,,,
great,4,roate 10111,talea 11010,aargh 10110,great 22222,,,,,
blurt,4,roate 10010,scuft 00202,aband 01000,blurt 22222,,,,,
duchy,4,roate 00000,clips 10000,bandh 00011,duchy 22222,,,,,
groin,4,roate 11000,croon 02202,bifid 00020,groin 22222,,,,,
group,4,roate 11000,croon 02200,gilds 20000,group 22222,,,,,
badly,4,roate 00100,nails 02020,abray 11002,badly 22222,,,,,
smart,4,roate 10210,tinct 00002,adsum 10101,smart 22222,,,,,
gaudy,4,roate 00100,nails 02000,bawds 02020,gaudy 22222,,,,,
chill,4,roate 00000,clips 21200,aahed 00100,chill 22222,,,,,
heron,4,roate 11001,wedel 02000,aahed 00110,heron 22222,,,,,
surer,4,roate 10001,seder 20021,adunc 00100,surer 22222,,,,,
perch,4,roate 10001,seder 02001,carby 10200,perch 22222,,,,,
clock,4,roate 01000,blins 02000,amuck 00012,clock 22222,,,,,
prove,4,roate 11002,phons 20200,abaca 00000,prove 22222,,,,,
bring,4,roate 10000,sculk 00000,awing 00222,bring 22222,,,,,
cheat,4,roate 00111,salat 00022,abaca 10010,cheat 22222,,,,,
grime,4,roate 10002,dimps 01100,aargh 00110,grime 22222,,,,,
usher,4,roate 10001,seder 10022,abmho 00010,usher 22222,,,,,
epoch,4,roate 01001,leben 01000,aahed 00110,epoch 22222,,,,,
break,4,roate 10101,malar 00021,backs 21010,break 22222,,,,,
viral,4,roate 10100,amias 00120,aargh 10200,viral 22222,,,,,
conic,4,roate 02000,bludy 00000,acmic 01022,conic 22222,,,,,
sonic,4,roate 02000,bludy 00000,acmic 00022,sonic 22222,,,,,
using,4,roate 00000,clips 00201,shuns 10120,using 22222,,,,,
peach,4,roate 00201,heels 12000,abaca 00220,peach 22222,,,,,
champ,4,roate 00200,spick 01010,aahed 10100,champ 22222,,,,,
baton,4,roate 01110,aboil 11100,aband 11010,baton 22222,,,,,
brake,4,roate 10202,clags 00200,baked 21110,brake 22222,,,,,
craze,4,roate 10202,clags 20200,avant 00200,craze 22222,,,,,
picky,4,roate 00000,clips 10110,abaca 00010,picky 22222,,,,,
troll,4,roate 11010,snoot 00201,aalii 00100,troll 22222,,,,,
unify,4,roate 00000,clips 00200,ahind 00210,unify 22222,,,,,
truss,4,roate 10010,scuft 10201,abash 00010,truss 22222,,,,,
siege,4,roate 00001,lenes 01011,aargh 00020,siege 22222,,,,,
tiger,4,roate 10011,serer 00022,begum 01200,tiger 22222,,,,,
banal,4,roate 00100,nails 11010,abaca 11100,banal 22222,,,,,
slump,4,roate 00000,clips 02011,aahed 00000,slump 22222,,,,,
drink,4,roate 10000,sculk 00002,aahed 00001,drink 22222,,,,,
favor,4,roate 11100,macon 02020,elves 00200,favor 22222,,,,,
panic,4,roate 00100,nails 12100,abamp 10001,panic 22222,,,,,
proxy,4,roate 11000,croon 02200,gilds 00000,proxy 22222,,,,,
point,4,roate 02010,mucin 00011,abamp 00001,point 22222,,,,,
prick,4,roate 10000,sculk 01002,abaca 00020,prick 22222,,,,,
wince,4,roate 00002,pling 00110,amahs 00000,wince 22222,,,,,
crimp,4,roate 10000,sculk 01000,aargh 00100,crimp 22222,,,,,
knoll,4,roate 01000,blins 01010,ablow 00110,knoll 22222,,,,,
sugar,4,roate 10100,amias 00021,abamp 10000,sugar 22222,,,,,
whack,4,roate 00200,spick 00022,ablow 10001,whack 22222,,,,,
could,4,roate 02000,bludy 01210,abaca 00010,could 22222,,,,,
wrung,4,roate 10000,sculk 00200,aband 00020,wrung 22222,,,,,
light,4,roate 00010,knish 00101,mulct 00102,light 22222,,,,,
shard,4,roate 10200,chins 02001,aduki 11000,shard 22222,,,,,
pleat,4,roate 00111,salat 00122,abaca 10000,pleat 22222,,,,,
aloft,4,roate 01110,aboil 20201,abaft 20022,aloft 22222,,,,,
skill,4,roate 00000,clips 01201,abaka 00010,skill 22222,,,,,
frame,4,roate 10202,clags 00200,baked 01010,frame 22222,,,,,
humor,4,roate 11000,croon 01020,firer 00002,humor 22222,,,,,
pause,4,roate 00102,salmi 12000,abaca 10000,pause 22222,,,,,
ulcer,4,roate 10001,seder 00022,filch 00110,ulcer 22222,,,,,
agora,4,roate 11100,macon 01010,abaca 20002,agora 22222,,,,,
caulk,4,roate 00100,nails 02020,abray 10000,caulk 22222,,,,,
pupal,4,roate 00100,nails 01010,abeam 00020,pupal 22222,,,,,
swill,4,roate 00000,clips 01201,abaka 00000,swill 22222,,,,,
bloke,4,roate 01002,clons 02200,abaka 01020,bloke 22222,,,,,
vivid,4,roate 00000,clips 00100,dungy 10000,vivid 22222,,,,,
chant,4,roate 00210,skint 00022,aahed 10100,chant 22222,,,,,
ahead,4,roate 00101,nebel 01000,acers 10200,ahead 22222,,,,,
brine,4,roate 10002,dimps 01000,aband 01020,brine 22222,,,,,
sweet,4,roate 00011,seeld 21200,aheap 00100,sweet 22222,,,,,
smelt,4,roate 00011,seeld 20220,abamp 00010,smelt 22222,,,,,
cater,4,roate 10111,talea 12020,achar 11002,cater 22222,,,,,
movie,4,roate 02002,pilus 01000,aalii 00020,movie 22222,,,,,
lynch,4,roate 00000,clips 11000,agley 00101,lynch 22222,,,,,
allow,4,roate 01100,nicol 00021,ablow 20122,allow 22222,,,,,
slosh,4,roate 01000,blins 02001,brogh 00202,slosh 22222,,,,,
purge,4,roate 10002,dimps 00010,aargh 00220,purge 22222,,,,,
chest,4,roate 00011,seeld 10200,aargh 00001,chest 22222,,,,,
epoxy,4,roate 01001,leben 01000,aahed 00010,epoxy 22222,,,,,
nymph,4,roate 00000,clips 00020,acidy 00001,nymph 22222,,,,,
shall,4,roate 00200,spick 20000,ahull 12022,shall 22222,,,,,
harry,4,roate 10100,amias 10000,carap 02100,harry 22222,,,,,
snout,4,roate 01010,spoot 20202,achar 00000,snout 22222,,,,,
fewer,4,roate 10001,seder 02022,elvan 10000,fewer 22222,,,,,
shawl,4,roate 00200,spick 20000,ahull 12002,shawl 22222,,,,,
comma,4,roate 02100,nidal 00010,aahed 10000,comma 22222,,,,,
black,4,roate 00200,spick 00022,ablow 11100,black 22222,,,,,
squad,4,roate 00100,nails 01001,abeam 00020,squad 22222,,,,,
mince,4,roate 00002,pling 00110,amahs 01000,mince 22222,,,,,
cheek,4,roate 00001,lenes 01020,aahed 00110,cheek 22222,,,,,
ample,4,roate 00102,salmi 01110,abaca 20000,ample 22222,,,,,
flair,4,roate 10200,chins 00100,algid 12020,flair 22222,,,,,
oxide,4,roate 01002,clons 00100,aahed 00011,oxide 22222,,,,,
plant,4,roate 00210,skint 00022,aahed 10000,plant 22222,,,,,
inert,4,roate 10011,serer 01100,acerb 00220,inert 22222,,,,,
askew,4,roate 00101,nebel 00020,aahed 20020,askew 22222,,,,,
heist,4,roate 00011,seeld 12000,abaft 00002,heist 22222,,,,,
shown,4,roate 01000,blins 00011,adown 00222,shown 22222,,,,,
trash,4,roate 10210,tinct 20000,ables 10001,trash 22222,,,,,
fella,4,roate 00101,nebel 02001,abaya 00002,fella 22222,,,,,
larva,4,roate 10100,amias 10010,aalii 12100,larva 22222,,,,,
story,4,roate 11010,snoot 20201,abysm 00110,story 22222,,,,,
hairy,4,roate 10100,amias 10200,ached 10100,hairy 22222,,,,,
homer,4,roate 12001,hwyls 20000,abamp 00010,homer 22222,,,,,
badge,4,roate 00102,salmi 02000,gauch 12000,badge 22222,,,,,
midst,4,roate 00010,knish 00120,aahed 00001,midst 22222,,,,,
canny,4,roate 00100,nails 12000,cundy 20102,canny 22222,,,,,
fetus,4,roate 00011,seeld 12000,abaft 00011,fetus 22222,,,,,
butch,4,roate 00010,knish 00002,aahed 00100,butch 22222,,,,,
tipsy,4,roate 00010,knish 00120,aahed 00000,tipsy 22222,,,,,
metal,4,roate 00111,salat 00121,abamp 10010,metal 22222,,,,,
yield,4,roate 00001,lenes 11000,delly 11021,yield 22222,,,,,
delve,4,roate 00001,lenes 11000,delly 21200,delve 22222,,,,,
being,4,roate 00001,lenes 02100,bidon 21001,being 22222,,,,,
glass,4,roate 00200,spick 10000,mulsh 00110,glass 22222,,,,,
scrap,4,roate 10100,amias 00021,abamp 10002,scrap 22222,,,,,
hinge,4,roate 00002,pling 00111,abacs 00000,hinge 22222,,,,,
album,4,roate 00100,nails 01010,abeam 21002,album 22222,,,,,
vouch,4,roate 02000,bludy 00200,piccy 00020,vouch 22222,,,,,
crept,4,roate 10011,serer 01100,acerb 01210,crept 22222,,,,,
bayou,4,roate 01100,nicol 00020,abaca 11000,bayou 22222,,,,,
atoll,4,roate 01110,aboil 20201,abaft 20001,atoll 22222,,,,,
creak,4,roate 10101,malar 00021,backs 01110,creak 22222,,,,,
showy,4,roate 01000,blins 00001,chowk 02220,showy 22222,,,,,
gloom,4,roate 01000,blins 02000,amuck 01000,gloom 22222,,,,,
flood,4,roate 01000,blins 02000,amuck 00000,flood 22222,,,,,
payer,4,roate 10101,malar 02002,gawsy 02001,payer 22222,,,,,
goose,4,roate 01002,clons 00101,aargh 00010,goose 22222,,,,,
float,4,roate 01110,aboil 10201,aargh 10000,float 22222,,,,,
donor,4,roate 11000,croon 01121,aahed 00001,donor 22222,,,,,
apron,4,roate 11100,macon 01022,aargh 20200,apron 22222,,,,,
cacao,4,roate 01100,nicol 00110,aahed 12000,cacao 22222,,,,,
input,4,roate 00010,knish 02100,aalii 00010,input 22222,,,,,
gloat,4,roate 01110,aboil 10201,aargh 10010,gloat 22222,,,,,
awful,4,roate 00100,nails 01010,abeam 20000,awful 22222,,,,,
brink,4,roate 10000,sculk 00002,aahed 00000,brink 22222,,,,,
droll,4,roate 11000,croon 02200,gilds 00110,droll 22222,,,,,
gawky,4,roate 00100,nails 02000,bawds 02200,gawky 22222,,,,,
hutch,4,roate 00010,knish 00001,abaca 00020,hutch 22222,,,,,
gaily,4,roate 00100,nails 02220,aahed 02000,gaily 22222,,,,,
egret,4,roate 10011,serer 01220,aahed 00010,egret 22222,,,,,
lilac,4,roate 00100,nails 01110,aidas 02020,lilac 22222,,,,,
sever,4,roate 10001,seder 22022,ablow 00000,sever 22222,,,,,
fluff,4,roate 00000,clips 02000,baken 00000,fluff 22222,,,,,
flack,4,roate 00200,spick 00022,ablow 10100,flack 22222,,,,,
agape,4,roate 00102,salmi 01000,aargh 10010,agape 22222,,,,,
wench,4,roate 00001,lenes 02200,abaca 00020,wench 22222,,,,,
voice,4,roate 02002,pilus 01000,aalii 00010,voice 22222,,,,,
stead,4,roate 00111,salat 20021,adeem 11200,stead 22222,,,,,
stalk,4,roate 00210,skint 21001,aalii 10100,stalk 22222,,,,,
bland,4,roate 00200,spick 00000,abamp 01200,bland 22222,,,,,
augur,4,roate 10100,amias 20000,aband 20000,augur 22222,,,,,
wacky,4,roate 00100,nails 02000,bawds 02100,wacky 22222,,,,,
flock,4,roate 01000,blins 02000,amuck 00022,flock 22222,,,,,
angry,4,roate 10100,amias 20000,aband 20010,angry 22222,,,,,
bobby,4,roate 02000,bludy 10002,aahed 00000,bobby 22222,,,,,
aphid,4,roate 00100,nails 01100,aahed 20202,aphid 22222,,,,,
power,4,roate 12001,hwyls 01000,campi 00010,power 22222,,,,,
cinch,4,roate 00000,clips 10100,acmic 01011,cinch 22222,,,,,
motto,4,roate 01010,spoot 00111,acted 00100,motto 22222,,,,,
upset,4,roate 00011,seeld 11000,abuna 00100,upset 22222,,,,,
bluff,4,roate 00000,clips 02000,baken 20000,bluff 22222,,,,,
cramp,4,roate 10200,chins 20000,abysm 10001,cramp 22222,,,,,
quart,4,roate 10210,tinct 00002,adsum 10010,quart 22222,,,,,
coyly,4,roate 02000,bludy 01001,aalii 00100,coyly 22222,,,,,
buggy,4,roate 00000,clips 00000,bandh 20000,buggy 22222,,,,,
alien,4,roate 00101,nebel 10021,aahed 20020,alien 22222,,,,,
unfit,4,roate 00010,knish 02100,aalii 00020,unfit 22222,,,,,
cling,4,roate 00000,clips 22200,baken 00001,cling 22222,,,,,
glean,4,roate 00101,nebel 11001,aargh 10010,glean 22222,,,,,
hunky,4,roate 00000,clips 00000,bandh 00201,hunky 22222,,,,,
gruel,4,roate 10001,seder 00021,grips 22000,gruel 22222,,,,,
shrug,4,roate 10000,sculk 20100,aargh 00211,shrug 22222,,,,,
treat,4,roate 10111,talea 11010,aargh 10100,treat 22222,,,,,
unlit,4,roate 00010,knish 02100,aalii 00220,unlit 22222,,,,,
waste,4,roate 00122,chubs 00001,abamp 10000,waste 22222,,,,,
woven,4,roate 02001,maven 00222,abaca 00000,woven 22222,,,,,
needy,4,roate 00001,lenes 01100,acidy 00022,needy 22222,,,,,
clown,4,roate 01000,blins 02010,abaca 00010,clown 22222,,,,,
widow,4,roate 01000,blins 00100,adaws 01010,widow 22222,,,,,
irony,4,roate 11000,croon 02201,apaid 00010,irony 22222,,,,,
ruder,4,roate 10001,seder 00221,aalii 00000,ruder 22222,,,,,
gauze,4,roate 00102,salmi 02000,gauch 22200,gauze 22222,,,,,
chief,4,roate 00001,lenes 00020,aahed 00120,chief 22222,,,,,
prize,4,roate 10002,dimps 01010,abaca 00000,prize 22222,,,,,
fungi,4,roate 00000,clips 00100,dungy 02220,fungi 22222,,,,,
charm,4,roate 10200,chins 22000,aahed 10100,charm 22222,,,,,
inter,4,roate 10011,serer 00022,begum 01000,inter 22222,,,,,
whoop,4,roate 01000,blins 00000,dawah 00101,whoop 22222,,,,,
class,4,roate 00200,spick 10010,aargh 10000,class 22222,,,,,
theme,4,roate 00011,seeld 01200,abcee 00012,theme 22222,,,,,
