greed,5,soare 00011,denet 11020,beefs 01200,aargh 00110,greed 22222,,,,,
giddy,5,soare 00000,linch 02000,dawts 10000,aargh 00010,giddy 22222,,,,,
wound,5,soare 02000,linty 00100,bumph 01000,abaft 00000,wound 22222,,,,,
fizzy,5,soare 00000,linch 02000,dawts 00000,aflaj 01000,fizzy 22222,,,,,
belle,5,soare 00001,denet 01000,filch 00100,abaca 01000,belle 22222,,,,,
fried,5,soare 00011,denet 10020,cided 01022,abaft 00010,fried 22222,,,,,
biddy,5,soare 00000,linch 02000,dawts 10000,aargh 00000,biddy 22222,,,,,
kayak,5,soare 00100,clint 00000,gaped 01000,abaca 10100,kayak 22222,,,,,
fully,5,soare 00000,linch 10000,baldy 00102,aargh 00000,fully 22222,,,,,
mamma,5,soare 00100,clint 00000,gaped 01000,abaca 10002,mamma 22222,,,,,
guppy,5,soare 00000,linch 00000,dempt 00010,appal 01200,guppy 22222,,,,,
repel,5,soare 00011,denet 02020,alvar 01001,abaca 00000,repel 22222,,,,,
rider,5,soare 00011,denet 10020,cided 02220,abear 00101,rider 22222,,,,,
gummy,5,soare 00000,linch 00000,dempt 00100,aargh 00010,gummy 22222,,,,,
guava,5,soare 00100,clint 00000,gaped 21000,aahed 11000,guava 22222,,,,,
brown,5,soare 01010,cloot 00200,dwang 01010,abaca 01000,brown 22222,,,,,
vaunt,5,soare 00100,clint 00022,dight 00002,advew 10100,vaunt 22222,,,,,
willy,5,soare 00000,linch 12000,bumfs 00000,aahed 00000,willy 22222,,,,,
cigar,4,soare 00110,raita 11100,aargh 10110,cigar 22222,,,,,,
rebut,4,soare 00011,denet 02002,abrim 01100,rebut 22222,,,,,,
humph,4,soare 00000,linch 00001,abaft 00000,humph 22222,,,,,,
awake,4,soare 00102,gault 01000,abaka 20220,awake 22222,,,,,,
blush,4,soare 10000,hists 10100,abaft 01000,blush 22222,,,,,,
focal,4,soare 02100,nidal 00022,abaft 10010,focal 22222,,,,,,
evade,4,soare 00201,letch 01000,aahed 10011,evade 22222,,,,,,
naval,4,soare 00100,clint 01010,abaka 10100,naval 22222,,,,,,
karma,4,soare 00110,raita 12002,abaka 10012,karma 22222,,,,,,
quiet,4,soare 00001,denet 00022,aalii 00010,quiet 22222,,,,,,
bench,4,soare 00001,denet 02200,abaca 01020,bench 22222,,,,,,
feign,4,soare 00001,denet 02100,blain 00012,feign 22222,,,,,,
major,4,soare 01110,macon 22020,abaya 10000,major 22222,,,,,,
fresh,4,soare 10011,richt 10010,aahed 00110,fresh 22222,,,,,,
abase,4,soare 10102,balti 11000,aahed 10010,abase 22222,,,,,,
marry,4,soare 00110,raita 12000,parch 02100,marry 22222,,,,,,
batty,4,soare 00100,clint 00001,baffy 22002,batty 22222,,,,,,
helix,4,soare 00001,denet 02000,beigy 02100,helix 22222,,,,,,
staff,4,soare 20200,clint 00001,abmho 10000,staff 22222,,,,,,
unfed,4,soare 00001,denet 10120,aswim 00000,unfed 22222,,,,,,
whelp,4,soare 00001,denet 01000,filch 00101,whelp 22222,,,,,,
outdo,4,soare 01000,clint 00001,boody 01120,outdo 22222,,,,,,
crazy,4,soare 00210,clint 20000,abamp 00200,crazy 22222,,,,,,
repay,4,soare 00111,talar 00021,becke 02000,repay 22222,,,,,,
digit,4,soare 00000,linch 01000,acted 00101,digit 22222,,,,,,
cluck,4,soare 00000,linch 10010,abaka 00010,cluck 22222,,,,,,
spike,4,soare 20002,clipt 00210,abaka 00020,spike 22222,,,,,,
mimic,4,soare 00000,linch 01010,abamp 00010,mimic 22222,,,,,,
pound,4,soare 02000,linty 00100,bumph 01010,pound 22222,,,,,,
maxim,4,soare 00100,clint 00100,aahed 02000,maxim 22222,,,,,,
linen,4,soare 00001,denet 00120,algin 01011,linen 22222,,,,,,
unmet,4,soare 00001,denet 00122,aalii 00000,unmet 22222,,,,,,
forth,4,soare 02010,curdy 00200,enmew 00000,forth 22222,,,,,,
stand,4,soare 20200,clint 00021,aahed 10002,stand 22222,,,,,,
belly,4,soare 00001,denet 02000,beigy 22002,belly 22222,,,,,,
seedy,4,soare 20001,clipt 00000,adeem 01100,seedy 22222,,,,,,
print,4,soare 00010,cuing 00220,abaka 00000,print 22222,,,,,,
drain,4,soare 00210,clint 00110,aband 00211,drain 22222,,,,,,
bribe,4,soare 00012,dript 02200,banco 10000,bribe 22222,,,,,,
stout,4,soare 21000,cloot 00201,abuna 00100,stout 22222,,,,,,
panel,4,soare 00101,datal 02002,ganch 02200,panel 22222,,,,,,
flume,4,soare 00002,clint 02000,abamp 00020,flume 22222,,,,,,
bleed,4,soare 00001,denet 11020,aalii 00100,bleed 22222,,,,,,
wooer,4,soare 01011,feted 00020,aband 00000,wooer 22222,,,,,,
front,4,soare 01010,cloot 00202,aband 00020,front 22222,,,,,,
parry,4,soare 00110,raita 12000,parch 22100,parry 22222,,,,,,
lapel,4,soare 00101,datal 02001,abamp 10001,lapel 22222,,,,,,
greet,4,soare 00011,denet 01022,aargh 00110,greet 22222,,,,,,
goner,4,soare 02011,vower 02022,hanky 00200,goner 22222,,,,,,
golem,4,soare 02001,meynt 11000,aahed 00020,golem 22222,,,,,,
lusty,4,soare 10000,hists 00220,algid 01000,lusty 22222,,,,,,
loopy,4,soare 01000,clint 01000,acold 00110,loopy 22222,,,,,,
audit,4,soare 00100,clint 00102,abamp 20000,audit 22222,,,,,,
labor,4,soare 01110,macon 02020,lovat 21010,labor 22222,,,,,,
islet,4,soare 10001,uneth 00110,abies 00121,islet 22222,,,,,,
civic,4,soare 00000,linch 01010,abamp 00000,civic 22222,,,,,,
basic,4,soare 10100,lassi 02201,abaca 11010,basic 22222,,,,,,
spend,4,soare 20001,clipt 00010,adhan 01001,spend 22222,,,,,,
kebab,4,soare 00101,datal 00020,bacca 11000,kebab 22222,,,,,,
guild,4,soare 00000,linch 11000,qubit 02010,guild 22222,,,,,,
aback,4,soare 00100,clint 10000,aahed 10000,aback 22222,,,,,,
motor,4,soare 01010,cloot 00121,abamp 00010,motor 22222,,,,,,
hatch,4,soare 00100,clint 10001,bumph 00001,hatch 22222,,,,,,
hyper,4,soare 00011,denet 00020,bilgy 00001,hyper 22222,,,,,,
thumb,4,soare 00000,linch 00001,abaft 01001,thumb 22222,,,,,,
belch,4,soare 00001,denet 02000,beigy 22000,belch 22222,,,,,,
dutch,4,soare 00000,linch 00022,aahed 00101,dutch 22222,,,,,,
enema,4,soare 00101,datal 01000,abamp 10020,enema 22222,,,,,,
abyss,4,soare 10100,lassi 01120,aahed 20000,abyss 22222,,,,,,
growl,4,soare 01010,cloot 01200,algid 01100,growl 22222,,,,,,
fling,4,soare 00000,linch 11100,delft 00110,fling 22222,,,,,,
dozen,4,soare 02001,meynt 01010,navew 10020,dozen 22222,,,,,,
click,4,soare 00000,linch 11010,bifid 01000,click 22222,,,,,,
briar,4,soare 00110,raita 11200,abaca 11000,briar 22222,,,,,,
great,4,soare 00111,talar 10021,aargh 10110,great 22222,,,,,,
pulpy,4,soare 00000,linch 10000,baldy 00202,pulpy 22222,,,,,,
duchy,4,soare 00000,linch 00011,abmho 00020,duchy 22222,,,,,,
groin,4,soare 01010,cloot 00200,dwang 00011,groin 22222,,,,,,
group,4,soare 01010,cloot 00200,dwang 00001,group 22222,,,,,,
badly,4,soare 00100,clint 01000,dampy 12002,badly 22222,,,,,,
pithy,4,soare 00000,linch 02001,compt 00011,pithy 22222,,,,,,
gaudy,4,soare 00100,clint 00000,gaped 22001,gaudy 22222,,,,,,
chill,4,soare 00000,linch 11011,acids 01200,chill 22222,,,,,,
finer,4,soare 00011,denet 00220,afald 01000,finer 22222,,,,,,
surer,4,soare 20011,hewer 00021,aalii 00000,surer 22222,,,,,,
radio,4,soare 01110,macon 02010,aahed 02001,radio 22222,,,,,,
perch,4,soare 00011,denet 02000,marly 00200,perch 22222,,,,,,
retch,4,soare 00011,denet 02001,aargh 00102,retch 22222,,,,,,
clock,4,soare 01000,clint 12000,abaca 00010,clock 22222,,,,,,
tilde,4,soare 00002,clint 01101,aahed 00011,tilde 22222,,,,,,
prove,4,soare 01012,panto 20001,abaca 00000,prove 22222,,,,,,
bring,4,soare 00010,cuing 00222,abaca 01000,bring 22222,,,,,,
cheat,4,soare 00101,datal 00120,aleck 10210,cheat 22222,,,,,,
grime,4,soare 00012,dript 02200,banco 00000,grime 22222,,,,,,
exult,4,soare 00001,denet 01002,abaci 00000,exult 22222,,,,,,
usher,4,soare 10011,richt 10010,aahed 00220,usher 22222,,,,,,
epoch,4,soare 01001,pylon 10010,aahed 00110,epoch 22222,,,,,,
triad,4,soare 00110,raita 11210,aahed 10002,triad 22222,,,,,,
break,4,soare 00111,talar 00021,becke 21010,break 22222,,,,,,
rhino,4,soare 01010,cloot 00100,abamp 00000,rhino 22222,,,,,,
viral,4,soare 00110,raita 11100,aargh 10200,viral 22222,,,,,,
conic,4,soare 02000,linty 01200,aalii 00020,conic 22222,,,,,,
masse,4,soare 10102,balti 02000,abamp 10010,masse 22222,,,,,,
vital,4,soare 00100,clint 01101,aahed 10000,vital 22222,,,,,,
peach,4,soare 00201,letch 02022,abaca 00220,peach 22222,,,,,,
brake,4,soare 00212,diact 00200,mikva 00101,brake 22222,,,,,,
craze,4,soare 00212,diact 00210,avant 00200,craze 22222,,,,,,
unify,4,soare 00000,linch 01100,putid 01010,unify 22222,,,,,,
rebus,4,soare 10011,richt 20000,abaca 01000,rebus 22222,,,,,,
truss,4,soare 10010,cruft 02201,abash 00010,truss 22222,,,,,,
siege,4,soare 20001,clipt 00100,agene 01202,siege 22222,,,,,,
tiger,4,soare 00011,denet 00021,auger 00222,tiger 22222,,,,,,
banal,4,soare 00100,clint 01010,abaka 11100,banal 22222,,,,,,
query,4,soare 00021,teeny 00202,aalii 00000,query 22222,,,,,,
drink,4,soare 00010,cuing 00220,abaka 00010,drink 22222,,,,,,
favor,4,soare 01110,macon 02020,lovat 01210,favor 22222,,,,,,
abbey,4,soare 00101,datal 01000,abamp 21000,abbey 22222,,,,,,
tangy,4,soare 00100,clint 00011,aahed 02000,tangy 22222,,,,,,
panic,4,soare 00100,clint 10110,abamp 10001,panic 22222,,,,,,
proxy,4,soare 01010,cloot 00200,dwang 00000,proxy 22222,,,,,,
point,4,soare 02000,linty 01110,ajies 00200,point 22222,,,,,,
prick,4,soare 00010,cuing 10200,bepat 00100,prick 22222,,,,,,
wince,4,soare 00002,clint 10110,abmho 00000,wince 22222,,,,,,
knoll,4,soare 01000,clint 01010,aalii 00100,knoll 22222,,,,,,
whack,4,soare 00200,plink 00002,aahed 10100,whack 22222,,,,,,
mount,4,soare 02000,linty 00110,abaca 00000,mount 22222,,,,,,
could,4,soare 02000,linty 10000,ached 01002,could 22222,,,,,,
those,4,soare 11002,chang 02000,aarti 00010,those 22222,,,,,,
moist,4,soare 12000,fubsy 00020,abmho 00101,moist 22222,,,,,,
shard,4,soare 20220,kempt 00000,acidy 10010,shard 22222,,,,,,
pleat,4,soare 00101,datal 00121,acerb 10200,pleat 22222,,,,,,
aloft,4,soare 01100,cloot 02202,abaft 20022,aloft 22222,,,,,,
elder,4,soare 00011,denet 11020,beefs 01100,elder 22222,,,,,,
frame,4,soare 00212,diact 00200,mikva 10001,frame 22222,,,,,,
humor,4,soare 01010,cloot 00020,aimer 00202,humor 22222,,,,,,
pause,4,soare 10102,balti 02000,abamp 10001,pause 22222,,,,,,
cynic,4,soare 00000,linch 01210,aarti 00001,cynic 22222,,,,,,
caulk,4,soare 00100,clint 21000,aahed 02000,caulk 22222,,,,,,
swill,4,soare 20000,plink 01200,arett 00000,swill 22222,,,,,,
tacit,4,soare 00100,clint 10101,aalii 02020,tacit 22222,,,,,,
other,4,soare 01011,feted 00120,aahed 00220,other 22222,,,,,,
vivid,4,soare 00000,linch 01000,acted 00002,vivid 22222,,,,,,
spill,4,soare 20000,plink 11200,aarti 00001,spill 22222,,,,,,
chant,4,soare 00200,plink 00020,aahed 10100,chant 22222,,,,,,
choke,4,soare 01002,bling 00000,aahed 00110,choke 22222,,,,,,
rupee,4,soare 00011,denet 01020,pucer 12011,rupee 22222,,,,,,
nasty,4,soare 10100,lassi 02200,hanap 02100,nasty 22222,,,,,,
brine,4,soare 00012,dript 02200,banco 20100,brine 22222,,,,,,
sweet,4,soare 20001,clipt 00002,aahed 00010,sweet 22222,,,,,,
cater,4,soare 00111,talar 12002,ached 11020,cater 22222,,,,,,
lynch,4,soare 00000,linch 20222,abaya 00010,lynch 22222,,,,,,
allow,4,soare 01100,cloot 01020,ablow 20122,allow 22222,,,,,,
shall,4,soare 20200,clint 01000,ahull 12022,shall 22222,,,,,,
harry,4,soare 00110,raita 12000,parch 02101,harry 22222,,,,,,
stove,4,soare 21002,nempt 01001,akela 00100,stove 22222,,,,,,
snout,4,soare 21000,cloot 00202,adhan 00001,snout 22222,,,,,,
fewer,4,soare 00011,denet 02020,alvar 00002,fewer 22222,,,,,,
shawl,4,soare 20200,clint 01000,ahull 12002,shawl 22222,,,,,,
comma,4,soare 02100,nidal 00010,aahed 10000,comma 22222,,,,,,
black,4,soare 00200,plink 02002,abaca 01220,black 22222,,,,,,
mince,4,soare 00002,clint 10110,abmho 00100,mince 22222,,,,,,
shame,4,soare 20202,thilk 02000,amped 11010,shame 22222,,,,,,
cheek,4,soare 00001,denet 01020,apeek 00222,cheek 22222,,,,,,
ample,4,soare 00102,gault 01020,abamp 20011,ample 22222,,,,,,
foyer,4,soare 02011,vower 02022,hanky 00001,foyer 22222,,,,,,
heist,4,soare 10001,uneth 00111,aalii 00010,heist 22222,,,,,,
shown,4,soare 21000,cloot 00200,adhan 00102,shown 22222,,,,,,
hasty,4,soare 10100,lassi 02200,hanap 22000,hasty 22222,,,,,,
fella,4,soare 00101,datal 01001,aalii 10100,fella 22222,,,,,,
larva,4,soare 00110,raita 12002,abaka 10002,larva 22222,,,,,,
story,4,soare 21020,nicht 00001,abysm 00110,story 22222,,,,,,
hairy,4,soare 00120,adyta 10100,aahed 02100,hairy 22222,,,,,,
homer,4,soare 02011,vower 02022,hanky 20000,homer 22222,,,,,,
badge,4,soare 00102,gault 12000,aahed 02011,badge 22222,,,,,,
midst,4,soare 10000,hists 02110,aahed 00001,midst 22222,,,,,,
canny,4,soare 00100,clint 20010,aahed 02000,canny 22222,,,,,,
butch,4,soare 00000,linch 00022,aahed 00100,butch 22222,,,,,,
tipsy,4,soare 10000,hists 02110,aahed 00000,tipsy 22222,,,,,,
metal,4,soare 00101,datal 00222,abamp 10010,metal 22222,,,,,,
yield,4,soare 00001,denet 11000,chewy 00201,yield 22222,,,,,,
delve,4,soare 00001,denet 21000,aalii 00200,delve 22222,,,,,,
being,4,soare 00001,denet 02100,blain 20011,being 22222,,,,,,
glass,4,soare 10200,flosh 02010,aargh 10010,glass 22222,,,,,,
hinge,4,soare 00002,clint 00110,aahed 00110,hinge 22222,,,,,,
album,4,soare 00100,clint 02000,aahed 20000,album 22222,,,,,,
crept,4,soare 00011,denet 01002,abaca 00010,crept 22222,,,,,,
bayou,4,soare 01100,cloot 00020,aboon 11020,bayou 22222,,,,,,
creak,4,soare 00111,talar 00021,becke 01110,creak 22222,,,,,,
showy,4,soare 21000,cloot 00200,adhan 00100,showy 22222,,,,,,
froth,4,soare 01010,cloot 00201,abaft 00011,froth 22222,,,,,,
depth,4,soare 00001,denet 22001,aahed 00111,depth 22222,,,,,,
gloom,4,soare 01000,clint 02000,abamp 00010,gloom 22222,,,,,,
flood,4,soare 01000,clint 02000,abamp 00000,flood 22222,,,,,,
girth,4,soare 00010,cuing 00101,aargh 00212,girth 22222,,,,,,
piety,4,soare 00001,denet 01001,aceta 00220,piety 22222,,,,,,
payer,4,soare 00111,talar 02002,gawcy 02001,payer 22222,,,,,,
float,4,soare 01100,cloot 02202,abaft 10012,float 22222,,,,,,
donor,4,soare 01010,cloot 00120,aahed 00001,donor 22222,,,,,,
primo,4,soare 01010,cloot 00100,abamp 00021,primo 22222,,,,,,
blown,4,soare 01000,clint 02010,abaca 01000,blown 22222,,,,,,
cacao,4,soare 01100,cloot 10100,aahed 12000,cacao 22222,,,,,,
input,4,soare 00000,linch 01100,putid 11110,input 22222,,,,,,
gloat,4,soare 01100,cloot 02202,abaft 10002,gloat 22222,,,,,,
awful,4,soare 00100,clint 01000,dampy 01000,awful 22222,,,,,,
brink,4,soare 00010,cuing 00220,abaka 01010,brink 22222,,,,,,
smite,4,soare 20002,clipt 00201,abamp 00010,smite 22222,,,,,,
droll,4,soare 01010,cloot 01200,algid 01001,droll 22222,,,,,,
gawky,4,soare 00100,clint 00000,gaped 22000,gawky 22222,,,,,,
gaily,4,soare 00100,clint 01200,aahed 02000,gaily 22222,,,,,,
egret,4,soare 00011,denet 01022,aargh 00210,egret 22222,,,,,,
field,4,soare 00001,denet 11000,chewy 00200,field 22222,,,,,,
flack,4,soare 00200,plink 02002,abaca 00220,flack 22222,,,,,,
agape,4,soare 00102,gault 11000,aahed 10010,agape 22222,,,,,,
wench,4,soare 00001,denet 02200,abaca 00020,wench 22222,,,,,,
stalk,4,soare 20200,clint 01001,abaka 00210,stalk 22222,,,,,,
berth,4,soare 00011,denet 02001,aargh 00202,berth 22222,,,,,,
madam,4,soare 00100,clint 00000,gaped 01001,madam 22222,,,,,,
bland,4,soare 00200,plink 02020,abaca 01200,bland 22222,,,,,,
liver,4,soare 00011,denet 00020,bilgy 02100,liver 22222,,,,,,
wedge,4,soare 00001,denet 11000,chewy 00110,wedge 22222,,,,,,
augur,4,soare 00110,raita 11000,adman 20000,augur 22222,,,,,,
roomy,4,soare 01010,cloot 00100,abamp 00020,roomy 22222,,,,,,
wacky,4,soare 00100,clint 10000,aahed 02000,wacky 22222,,,,,,
flock,4,soare 01000,clint 12000,abaca 00020,flock 22222,,,,,,
bobby,4,soare 02000,linty 00002,brogh 10100,bobby 22222,,,,,,
trite,4,soare 00012,dript 02201,batta 00120,trite 22222,,,,,,
aphid,4,soare 00100,clint 00100,aahed 20202,aphid 22222,,,,,,
midge,4,soare 00002,clint 00100,admix 01110,midge 22222,,,,,,
power,4,soare 02011,vower 02222,clapt 00010,power 22222,,,,,,
motto,4,soare 01000,clint 00001,boody 01000,motto 22222,,,,,,
stomp,4,soare 21000,cloot 00201,abuna 00000,stomp 22222,,,,,,
bluff,4,soare 00000,linch 10000,baldy 20100,bluff 22222,,,,,,
cramp,4,soare 00210,clint 20000,abamp 00222,cramp 22222,,,,,,
coyly,4,soare 02000,linty 10001,aalii 00100,coyly 22222,,,,,,
rhyme,4,soare 00012,dript 01000,aahed 00110,rhyme 22222,,,,,,
alien,4,soare 00101,datal 01001,aalii 20110,alien 22222,,,,,,
unfit,4,soare 00000,linch 01100,putid 01120,unfit 22222,,,,,,
cling,4,soare 00000,linch 11110,aargh 00010,cling 22222,,,,,,
glean,4,soare 00101,datal 00021,agene 11210,glean 22222,,,,,,
label,4,soare 00101,datal 02001,abamp 11000,label 22222,,,,,,
gruel,4,soare 00011,denet 00020,bilgy 00110,gruel 22222,,,,,,
twang,4,soare 00200,plink 00020,aahed 10000,twang 22222,,,,,,
treat,4,soare 00111,talar 10021,aargh 10100,treat 22222,,,,,,
unlit,4,soare 00000,linch 11100,delft 00202,unlit 22222,,,,,,
waste,4,soare 10102,balti 02020,cahow 02001,waste 22222,,,,,,
merit,4,soare 00011,denet 02002,abrim 00221,merit 22222,,,,,,
woven,4,soare 02001,meynt 01010,navew 10221,woven 22222,,,,,,
needy,4,soare 00001,denet 11100,aalii 00000,needy 22222,,,,,,
widow,4,soare 01000,clint 00100,adaws 01010,widow 22222,,,,,,
irony,4,soare 01010,cloot 00200,dwang 00020,irony 22222,,,,,,
ruder,4,soare 00011,denet 10020,cided 00220,ruder 22222,,,,,,
chief,4,soare 00001,denet 00020,abamp 00000,chief 22222,,,,,,
prize,4,soare 00012,dript 02210,acmes 00010,prize 22222,,,,,,
fungi,4,soare 00000,linch 01200,aalii 00002,fungi 22222,,,,,,
whoop,4,soare 01000,clint 00000,wedgy 20000,whoop 22222,,,,,,
taunt,4,soare 00100,clint 00021,abaya 10000,taunt 22222,,,,,,
class,4,soare 10200,flosh 02010,aargh 10000,class 22222,,,,,,
theme,4,soare 00001,denet 01011,aahed 00110,theme 22222,,,,,,
