carry,5,slate 00100,minor 00001,parry 02222,cigar 20011,carry 22222,,,
grave,5,slate 00202,brick 02000,dumpy 00000,evade 01202,grave 22222,,,
daddy,5,slate 00100,minor 00000,bawdy 02012,spicy 00002,daddy 22222,,,
funny,5,slate 00000,round 00110,pinch 00100,rebut 00010,funny 22222,,,
quick,5,slate 00000,round 00100,pygmy 00000,rebut 00010,quick 22222,,,
fairy,5,slate 00100,minor 01001,badly 02002,humph 00000,fairy 22222,,,
jiffy,5,slate 00000,round 00000,champ 00000,focal 10000,jiffy 22222,,,
frown,5,slate 00000,round 11010,birch 00100,cigar 00001,frown 22222,,,
might,5,slate 00010,trout 00002,dwarf 00000,humph 10100,might 22222,,,
freer,5,slate 00001,diner 00011,pence 01001,sissy 00000,freer 22222,,,
winch,5,slate 00000,round 00010,pinch 02222,awake 01000,winch 22222,,,
pried,5,slate 00001,diner 11021,focal 00000,humph 00010,pried 22222,,,
juicy,5,slate 00000,round 00100,pygmy 00002,cigar 11000,juicy 22222,,,
rigor,5,slate 00000,round 11000,frock 01100,cigar 02201,rigor 22222,,,
fiber,5,slate 00001,diner 02022,prove 01001,rebut 11200,fiber 22222,,,
caddy,5,slate 00100,minor 00000,bawdy 02012,spicy 00012,caddy 22222,,,
verve,5,slate 00001,diner 00011,pence 02002,viral 10200,verve 22222,,,
tatty,5,slate 00110,taint 12001,perch 00000,batty 02122,tatty 22222,,,
rover,5,slate 00001,diner 00021,growl 01100,cigar 00001,rover 22222,,,
cover,5,slate 00001,diner 00022,pooch 02010,awake 00001,cover 22222,,,
joker,5,slate 00001,diner 00022,pooch 02000,gawky 00010,joker 22222,,,
creed,5,slate 00001,diner 10011,beefy 01200,cigar 20001,creed 22222,,,
furor,5,slate 00000,round 11100,champ 00000,focal 21000,furor 22222,,,
geeky,5,slate 00001,diner 00010,emcee 10010,cigar 00100,geeky 22222,,,
fatty,5,slate 00110,taint 12001,perch 00000,batty 02222,fatty 22222,,,
every,5,slate 00001,diner 00011,pence 01001,sissy 00002,every 22222,,,
pouch,5,slate 00000,round 02200,cluck 00220,humph 01012,pouch 22222,,,
dilly,5,slate 01000,golly 00222,whiff 00100,rebut 00000,dilly 22222,,,
graze,5,slate 00202,brick 02000,dumpy 00000,evade 00202,graze 22222,,,
finch,5,slate 00000,round 00010,pinch 02222,awake 00000,finch 22222,,,
groom,5,slate 00000,round 11000,frock 02100,cigar 00101,groom 22222,,,
bunny,5,slate 00000,round 00110,pinch 00100,rebut 00110,bunny 22222,,,
bully,5,slate 01000,golly 00222,whiff 00000,rebut 00110,bully 22222,,,
grown,5,slate 00000,round 11010,birch 00100,cigar 00101,grown 22222,,,
envoy,5,slate 00001,diner 00110,embed 20000,evade 21000,envoy 22222,,,
mucky,5,slate 00000,round 00100,pygmy 00012,cigar 10000,mucky 22222,,,
merge,5,slate 00001,diner 00011,pence 02002,viral 00200,merge 22222,,,
kappa,5,slate 00100,minor 00000,bawdy 01000,cigar 00010,kappa 22222,,,
hover,5,slate 00001,diner 00022,pooch 02001,humph 20000,hover 22222,,,
jerky,5,slate 00001,diner 00011,pence 02000,jumbo 20000,jerky 22222,,,
beefy,5,slate 00001,diner 00010,emcee 10010,cigar 00000,beefy 22222,,,
broom,5,slate 00000,round 11000,frock 02100,cigar 00001,broom 22222,,,
gazer,5,slate 00101,cyber 00022,gawky 22000,humph 00000,gazer 22222,,,
billy,5,slate 01000,golly 00222,whiff 00100,rebut 00100,billy 22222,,,
juror,5,slate 00000,round 11100,champ 00000,focal 01000,juror 22222,,,
fuzzy,5,slate 00000,round 00100,pygmy 00002,cigar 00000,fuzzy 22222,,,
verge,5,slate 00001,diner 00011,pence 02002,viral 20200,verge 22222,,,
cubic,5,slate 00000,round 00100,pygmy 00000,rebut 00210,cubic 22222,,,
revue,5,slate 00001,diner 00011,pence 02002,viral 10100,revue 22222,,,
refer,5,slate 00001,diner 00011,pence 01000,focal 10000,refer 22222,,,
bound,5,slate 00000,round 02222,humph 01000,dwarf 10000,bound 22222,,,
jazzy,5,slate 00100,minor 00000,bawdy 02002,humph 00000,jazzy 22222,,,
neigh,5,slate 00001,diner 01110,brink 00210,humph 00002,neigh 22222,,,
ditch,5,slate 00010,trout 10000,humph 00002,awake 00000,ditch 22222,,,
fever,5,slate 00001,diner 00012,humph 00000,awake 00001,fever 22222,,,
waver,5,slate 00101,cyber 00022,gawky 02100,focal 00010,waver 22222,,,
wafer,5,slate 00101,cyber 00022,gawky 02100,focal 10010,wafer 22222,,,
prior,5,slate 00000,round 11000,frock 01100,cigar 01001,prior 22222,,,
cello,5,slate 01001,newer 02000,belly 02220,cigar 20000,cello 22222,,,
merry,5,slate 00001,diner 00011,pence 02000,jumbo 00100,merry 22222,,,
berry,5,slate 00001,diner 00011,pence 02000,jumbo 00010,berry 22222,,,
cower,5,slate 00001,diner 00022,pooch 02010,awake 01001,cower 22222,,,
greed,5,slate 00001,diner 10011,beefy 01200,cigar 00101,greed 22222,,,
wound,5,slate 00000,round 02222,humph 01000,dwarf 11000,wound 22222,,,
paddy,5,slate 00100,minor 00000,bawdy 02012,spicy 01002,paddy 22222,,,
fizzy,5,slate 00000,round 00000,champ 00000,focal 20000,fizzy 22222,,,
corer,5,slate 00001,diner 00021,growl 01100,cigar 20001,corer 22222,,,
mower,5,slate 00001,diner 00022,pooch 02000,gawky 00200,mower 22222,,,
munch,5,slate 00000,round 00110,pinch 00222,rebut 00010,munch 22222,,,
dully,5,slate 01000,golly 00222,whiff 00000,rebut 00010,dully 22222,,,
batch,5,slate 00110,taint 12000,humph 00002,bench 20022,batch 22222,,,
witch,5,slate 00010,trout 10000,humph 00002,awake 01000,witch 22222,,,
bunch,5,slate 00000,round 00110,pinch 00222,rebut 00110,bunch 22222,,,
dried,5,slate 00001,diner 11021,focal 00000,humph 00000,dried 22222,,,
happy,5,slate 00100,minor 00000,bawdy 02002,humph 20010,happy 22222,,,
guava,5,slate 00100,minor 00000,bawdy 01000,cigar 00110,guava 22222,,,
hello,5,slate 01001,newer 02000,belly 02220,cigar 00000,hello 22222,,,
vaunt,5,slate 00110,taint 02022,dough 00200,evade 01100,vaunt 22222,,,
rebut,4,slate 00011,deter 02101,mimic 00000,rebut 22222,,,,
humph,4,slate 00000,round 00100,pygmy 10010,humph 22222,,,,
awake,4,slate 00102,grind 00000,aback 20201,awake 22222,,,,
blush,4,slate 12000,floss 02020,rebut 00110,blush 22222,,,,
focal,4,slate 01100,minor 00010,fully 20100,focal 22222,,,,
naval,4,slate 01100,minor 00100,rebut 00000,naval 22222,,,,
karma,4,slate 00100,minor 10001,unfed 00000,karma 22222,,,,
grade,4,slate 00202,brick 02000,dumpy 10000,grade 22222,,,,
quiet,4,slate 00011,deter 00120,totem 10020,quiet 22222,,,,
major,4,slate 00100,minor 20022,sissy 00000,major 22222,,,,
fresh,4,slate 10001,rupee 10010,focal 20000,fresh 22222,,,,
crust,4,slate 10010,foist 00022,cigar 20001,crust 22222,,,,
colon,4,slate 01000,golly 01200,cigar 20000,colon 22222,,,,
abase,4,slate 10102,crimp 00000,rebut 01100,abase 22222,,,,
marry,4,slate 00100,minor 20001,cigar 00011,marry 22222,,,,
batty,4,slate 00110,taint 12001,perch 00000,batty 22222,,,,
pride,4,slate 00002,doing 10200,rebut 11000,pride 22222,,,,
helix,4,slate 01001,newer 02000,belly 02200,helix 22222,,,,
croak,4,slate 00100,minor 00011,focal 01120,croak 22222,,,,
staff,4,slate 20210,print 00001,cigar 00010,staff 22222,,,,
paper,4,slate 00101,cyber 00022,gawky 02000,paper 22222,,,,
unfed,4,slate 00001,diner 10120,awake 00001,unfed 22222,,,,
whelp,4,slate 01001,newer 01100,dwarf 01000,whelp 22222,,,,
outdo,4,slate 00010,trout 10110,cigar 00000,outdo 22222,,,,
adobe,4,slate 00102,grind 00001,evade 00112,adobe 22222,,,,
crazy,4,slate 00200,crowd 22000,karma 01100,crazy 22222,,,,
sower,4,slate 20001,cheer 00022,biome 00101,sower 22222,,,,
digit,4,slate 00010,trout 00002,dwarf 20000,digit 22222,,,,
cluck,4,slate 02000,frock 00012,cigar 10000,cluck 22222,,,,
spike,4,slate 20002,chirp 00201,stink 20201,spike 22222,,,,
mimic,4,slate 00000,round 00000,champ 10010,mimic 22222,,,,
pound,4,slate 00000,round 02222,humph 01010,pound 22222,,,,
linen,4,slate 01001,newer 10020,karma 00000,linen 22222,,,,
unmet,4,slate 00011,deter 00120,totem 10021,unmet 22222,,,,
booby,4,slate 00000,round 01000,boozy 12202,booby 22222,,,,
forth,4,slate 00020,briny 01000,awake 00000,forth 22222,,,,
stand,4,slate 20210,print 00021,awake 00200,stand 22222,,,,
ivory,4,slate 00000,round 11000,frock 01200,ivory 22222,,,,
seedy,4,slate 20001,cheer 00100,cigar 00000,seedy 22222,,,,
print,4,slate 00010,trout 02002,humph 00010,print 22222,,,,
drain,4,slate 00200,crowd 02001,cigar 01011,drain 22222,,,,
bribe,4,slate 00002,doing 00200,champ 00000,bribe 22222,,,,
stout,4,slate 20010,input 00021,cigar 00000,stout 22222,,,,
panel,4,slate 01101,nerdy 11000,cigar 00010,panel 22222,,,,
crass,4,slate 10200,brush 02010,cigar 20011,crass 22222,,,,
flume,4,slate 02002,bingo 00000,humph 01100,flume 22222,,,,
offal,4,slate 01100,minor 00010,fully 10100,offal 22222,,,,
agree,4,slate 00101,cyber 00011,drown 01000,agree 22222,,,,
bleed,4,slate 02001,fried 00012,evade 10011,bleed 22222,,,,
wooer,4,slate 00001,diner 00022,pooch 02200,wooer 22222,,,,
front,4,slate 00010,trout 02202,cigar 00001,front 22222,,,,
shrub,4,slate 20000,corny 00200,cigar 00001,shrub 22222,,,,
start,4,slate 20210,print 01001,awake 00200,start 22222,,,,
greet,4,slate 00011,deter 01121,evade 10001,greet 22222,,,,
goner,4,slate 00001,diner 00222,cigar 00102,goner 22222,,,,
golem,4,slate 01001,newer 00020,model 12021,golem 22222,,,,
audit,4,slate 00110,taint 01102,humph 02000,audit 22222,,,,
labor,4,slate 01100,minor 00022,rebut 10200,labor 22222,,,,
civic,4,slate 00000,round 00000,champ 10000,civic 22222,,,,
forge,4,slate 00002,doing 02001,rouge 12022,forge 22222,,,,
corny,4,slate 00000,round 12020,cigar 20001,corny 22222,,,,
basic,4,slate 10100,missy 01200,cigar 11010,basic 22222,,,,
fjord,4,slate 00000,round 11002,dwarf 10021,fjord 22222,,,,
kebab,4,slate 00101,cyber 00110,cigar 00020,kebab 22222,,,,
aback,4,slate 00100,minor 00000,bawdy 11000,aback 22222,,,,
motor,4,slate 00010,trout 11100,cigar 00002,motor 22222,,,,
hatch,4,slate 00110,taint 12000,humph 20002,hatch 22222,,,,
hyper,4,slate 00001,diner 00022,pooch 10001,hyper 22222,,,,
thumb,4,slate 00010,trout 20010,humph 11100,thumb 22222,,,,
dowry,4,slate 00000,round 12001,evade 00010,dowry 22222,,,,
ought,4,slate 00010,trout 00112,model 01000,ought 22222,,,,
belch,4,slate 01001,newer 02000,belly 22200,belch 22222,,,,
dutch,4,slate 00010,trout 10010,blush 00102,dutch 22222,,,,
comet,4,slate 00011,deter 00120,totem 12021,comet 22222,,,,
enema,4,slate 00101,cyber 00010,unfed 02010,enema 22222,,,,
growl,4,slate 01000,golly 21100,cigar 00101,growl 22222,,,,
fling,4,slate 02000,frock 20000,cigar 01100,fling 22222,,,,
erode,4,slate 00001,diner 10011,beefy 01100,erode 22222,,,,
world,4,slate 01000,golly 02020,cigar 00001,world 22222,,,,
gouge,4,slate 00002,doing 02001,rouge 02212,gouge 22222,,,,
click,4,slate 02000,frock 00012,cigar 11000,click 22222,,,,
briar,4,slate 00100,minor 01001,badly 21000,briar 22222,,,,
great,4,slate 00111,creek 02200,grade 22101,great 22222,,,,
pulpy,4,slate 01000,golly 00202,karma 00000,pulpy 22222,,,,
duchy,4,slate 00000,round 00101,dumpy 22002,duchy 22222,,,,
groin,4,slate 00000,round 11010,birch 01100,groin 22222,,,,
group,4,slate 00000,round 11100,champ 00002,group 22222,,,,
rogue,4,slate 00002,doing 02001,rouge 22112,rogue 22222,,,,
badly,4,slate 01100,minor 00000,pudgy 00202,badly 22222,,,,
pithy,4,slate 00010,trout 10000,humph 10010,pithy 22222,,,,
gaudy,4,slate 00100,minor 00000,bawdy 02022,gaudy 22222,,,,
chill,4,slate 01000,golly 00120,frock 00010,chill 22222,,,,
heron,4,slate 00001,diner 00111,groin 01102,heron 22222,,,,
vodka,4,slate 00100,minor 00010,awake 10020,vodka 22222,,,,
finer,4,slate 00001,diner 02222,humph 00000,finer 22222,,,,
surer,4,slate 20001,cheer 00021,cigar 00001,surer 22222,,,,
perch,4,slate 00001,diner 00011,pence 22020,perch 22222,,,,
retch,4,slate 00011,deter 02201,marry 00100,retch 22222,,,,
prove,4,slate 00002,doing 01000,bravo 02021,prove 22222,,,,
bring,4,slate 00000,round 10020,gawky 10000,bring 22222,,,,
grime,4,slate 00002,doing 00201,humph 00100,grime 22222,,,,
epoch,4,slate 00001,diner 00010,emcee 20100,epoch 22222,,,,
break,4,slate 00101,cyber 00111,grade 02101,break 22222,,,,
viral,4,slate 01100,minor 02001,rebut 10000,viral 22222,,,,
conic,4,slate 00000,round 02010,helix 00020,conic 22222,,,,
masse,4,slate 10102,crimp 00010,rebut 01000,masse 22222,,,,
vital,4,slate 01110,afoul 10002,pride 00100,vital 22222,,,,
using,4,slate 10000,missy 01100,cigar 01100,using 22222,,,,
peach,4,slate 00201,hardy 11000,rebut 02000,peach 22222,,,,
champ,4,slate 00200,crowd 20000,feign 00000,champ 22222,,,,
craze,4,slate 00202,brick 02010,naval 01000,craze 22222,,,,
gripe,4,slate 00002,doing 00201,humph 00020,gripe 22222,,,,
picky,4,slate 00000,round 00000,champ 10001,picky 22222,,,,
unify,4,slate 00000,round 00110,pinch 01100,unify 22222,,,,
boost,4,slate 10010,foist 01022,cigar 00000,boost 22222,,,,
siege,4,slate 20001,cheer 00100,cigar 02100,siege 22222,,,,
tiger,4,slate 00011,deter 00122,ought 00201,tiger 22222,,,,
banal,4,slate 01100,minor 00200,focal 00012,banal 22222,,,,
crank,4,slate 00200,crowd 22000,karma 11100,crank 22222,,,,
gorge,4,slate 00002,doing 02001,rouge 12012,gorge 22222,,,,
favor,4,slate 00100,minor 00022,humph 00000,favor 22222,,,,
tangy,4,slate 00110,taint 22010,sissy 00002,tangy 22222,,,,
proxy,4,slate 00000,round 11000,frock 02200,proxy 22222,,,,
point,4,slate 00010,trout 00102,pound 22020,point 22222,,,,
prick,4,slate 00000,round 10000,perch 20120,prick 22222,,,,
wince,4,slate 00002,doing 00110,humph 00000,wince 22222,,,,
crimp,4,slate 00000,round 10000,perch 10110,crimp 22222,,,,
knoll,4,slate 01000,golly 01120,cigar 00000,knoll 22222,,,,
mount,4,slate 00010,trout 00112,model 22000,mount 22222,,,,
perky,4,slate 00001,diner 00011,pence 22000,perky 22222,,,,
could,4,slate 01000,golly 02020,cigar 20000,could 22222,,,,
moist,4,slate 10010,foist 02222,humph 00100,moist 22222,,,,
shard,4,slate 20200,prick 01000,humph 10000,shard 22222,,,,
skill,4,slate 21000,willy 01120,humph 00000,skill 22222,,,,
frame,4,slate 00202,brick 02000,dumpy 00100,frame 22222,,,,
humor,4,slate 00000,round 11100,champ 01010,humor 22222,,,,
ulcer,4,slate 02001,fried 01020,cigar 10002,ulcer 22222,,,,
cynic,4,slate 00000,round 00010,pinch 01210,cynic 22222,,,,
agora,4,slate 00100,minor 00011,focal 01010,agora 22222,,,,
shake,4,slate 20202,perch 01001,vodka 00021,shake 22222,,,,
pupal,4,slate 01100,minor 00000,pudgy 12000,pupal 22222,,,,
other,4,slate 00011,deter 00122,ought 20011,other 22222,,,,
spill,4,slate 21000,willy 01120,humph 00010,spill 22222,,,,
choke,4,slate 00002,doing 01000,bravo 00001,choke 22222,,,,
rupee,4,slate 00001,diner 00011,pence 11002,rupee 22222,,,,
ahead,4,slate 00101,cyber 00010,unfed 00012,ahead 22222,,,,
brine,4,slate 00002,doing 00220,rebut 11100,brine 22222,,,,
hoard,4,slate 00200,crowd 01102,rebut 10000,hoard 22222,,,,
sweet,4,slate 20011,print 00002,humph 00000,sweet 22222,,,,
month,4,slate 00020,briny 00010,rebut 00001,month 22222,,,,
today,4,slate 00110,taint 21000,sissy 00002,today 22222,,,,
focus,4,slate 10000,missy 00100,cigar 10000,focus 22222,,,,
lynch,4,slate 01000,golly 00101,cigar 10000,lynch 22222,,,,
allow,4,slate 01100,minor 00020,belly 00100,allow 22222,,,,
renew,4,slate 00001,diner 00211,cigar 00001,renew 22222,,,,
purge,4,slate 00002,doing 00001,cigar 00101,purge 22222,,,,
depot,4,slate 00011,deter 22100,rebut 02002,depot 22222,,,,
epoxy,4,slate 00001,diner 00010,emcee 20000,epoxy 22222,,,,
nymph,4,slate 00000,round 00010,pinch 10102,nymph 22222,,,,
natal,4,slate 01110,afoul 10002,pride 00000,natal 22222,,,,
fibre,4,slate 00002,doing 00100,rebut 11200,fibre 22222,,,,
comma,4,slate 00100,minor 10010,cigar 20010,comma 22222,,,,
foray,4,slate 00100,minor 00011,focal 22020,foray 22222,,,,
squad,4,slate 20100,corny 00000,cigar 00020,squad 22222,,,,
royal,4,slate 01100,minor 00011,cigar 00021,royal 22222,,,,
mince,4,slate 00002,doing 00110,humph 00100,mince 22222,,,,
shame,4,slate 20202,perch 01001,vodka 00001,shame 22222,,,,
cheek,4,slate 00001,diner 00010,emcee 10120,cheek 22222,,,,
cargo,4,slate 00100,minor 00011,focal 01110,cargo 22222,,,,
inert,4,slate 00011,deter 01101,colon 00001,inert 22222,,,,
heist,4,slate 10011,crust 00022,rebut 02002,heist 22222,,,,
shown,4,slate 20000,corny 01010,whelp 12000,shown 22222,,,,
fella,4,slate 01101,nerdy 02000,cigar 00010,fella 22222,,,,
larva,4,slate 01100,minor 00001,marry 01200,larva 22222,,,,
forgo,4,slate 00000,round 11000,frock 21100,forgo 22222,,,,
story,4,slate 20010,input 00001,karma 00100,story 22222,,,,
badge,4,slate 00102,grind 10001,rebut 01100,badge 22222,,,,
butch,4,slate 00010,trout 10010,blush 20102,butch 22222,,,,
farce,4,slate 00102,grind 01000,naval 02000,farce 22222,,,,
metal,4,slate 01111,repay 02020,humph 00100,metal 22222,,,,
yield,4,slate 01001,newer 01000,dally 10021,yield 22222,,,,
delve,4,slate 01001,newer 01000,dally 20200,delve 22222,,,,
being,4,slate 00001,diner 01110,brink 20220,being 22222,,,,
scrap,4,slate 20100,corny 10200,humph 00010,scrap 22222,,,,
money,4,slate 00001,diner 00220,humph 00100,money 22222,,,,
hinge,4,slate 00002,doing 00111,rebut 01000,hinge 22222,,,,
album,4,slate 02100,agora 20000,cigar 00010,album 22222,,,,
tiara,4,slate 00110,taint 21100,cigar 02011,tiara 22222,,,,
crept,4,slate 00011,deter 01101,colon 20000,crept 22222,,,,
bayou,4,slate 00100,minor 00020,cigar 00010,bayou 22222,,,,
creak,4,slate 00101,cyber 20011,humph 00000,creak 22222,,,,
showy,4,slate 20000,corny 01002,humph 10000,showy 22222,,,,
gloom,4,slate 02000,frock 00100,grade 20000,gloom 22222,,,,
girth,4,slate 00020,briny 01100,cigar 02101,girth 22222,,,,
payer,4,slate 00101,cyber 01022,cigar 00012,payer 22222,,,,
goose,4,slate 10002,porch 01000,feign 01010,goose 22222,,,,
donor,4,slate 00000,round 11011,cigar 00002,donor 22222,,,,
apron,4,slate 00100,minor 00121,rebut 10000,apron 22222,,,,
blown,4,slate 02000,frock 00200,awake 01000,blown 22222,,,,
cacao,4,slate 00100,minor 00010,awake 10100,cacao 22222,,,,
brink,4,slate 00000,round 10020,gawky 00010,brink 22222,,,,
retro,4,slate 00011,deter 02201,marry 00120,retro 22222,,,,
droll,4,slate 01000,golly 01120,cigar 00001,droll 22222,,,,
gawky,4,slate 00100,minor 00000,bawdy 02202,gawky 22222,,,,
hutch,4,slate 00010,trout 10010,blush 00101,hutch 22222,,,,
pinto,4,slate 00020,briny 00110,humph 00010,pinto 22222,,,,
gaily,4,slate 01100,minor 01000,radio 02010,gaily 22222,,,,
egret,4,slate 00011,deter 01121,evade 10000,egret 22222,,,,
lilac,4,slate 01100,minor 02000,cigar 12020,lilac 22222,,,,
sever,4,slate 20001,cheer 00122,awake 00001,sever 22222,,,,
field,4,slate 01001,newer 01000,dally 10020,field 22222,,,,
fluff,4,slate 02000,frock 10000,rebut 00010,fluff 22222,,,,
hydro,4,slate 00000,round 11001,sissy 00001,hydro 22222,,,,
agape,4,slate 00102,grind 10000,rebut 01000,agape 22222,,,,
madam,4,slate 00100,minor 10000,gamma 01110,madam 22222,,,,
liver,4,slate 01001,newer 00022,linen 22020,liver 22222,,,,
wedge,4,slate 00001,diner 10010,tweed 01111,wedge 22222,,,,
wacky,4,slate 00100,minor 00000,bawdy 02102,wacky 22222,,,,
angry,4,slate 00100,minor 00101,cigar 00211,angry 22222,,,,
trite,4,slate 00012,chirp 00210,rebut 11001,trite 22222,,,,
aphid,4,slate 00100,minor 01000,humph 10010,aphid 22222,,,,
tryst,4,slate 10010,foist 00021,rebut 10001,tryst 22222,,,,
midge,4,slate 00002,doing 10101,cigar 02100,midge 22222,,,,
elope,4,slate 02001,fried 00010,evade 20002,elope 22222,,,,
cinch,4,slate 00000,round 00010,pinch 02212,cinch 22222,,,,
motto,4,slate 00010,trout 10101,cigar 00000,motto 22222,,,,
stomp,4,slate 20010,input 00101,humph 00110,stomp 22222,,,,
upset,4,slate 10011,crust 00112,humph 01010,upset 22222,,,,
bluff,4,slate 02000,frock 10000,rebut 00110,bluff 22222,,,,
cramp,4,slate 00200,crowd 22000,karma 01120,cramp 22222,,,,
rhyme,4,slate 00002,doing 00000,cigar 00001,rhyme 22222,,,,
buggy,4,slate 00000,round 00100,pygmy 00102,buggy 22222,,,,
unfit,4,slate 00010,trout 00012,cigar 01000,unfit 22222,,,,
patty,4,slate 00110,taint 12001,perch 20000,patty 22222,,,,
cling,4,slate 02000,frock 00010,cigar 21100,cling 22222,,,,
hunky,4,slate 00000,round 00110,pinch 00201,hunky 22222,,,,
gruel,4,slate 01001,newer 00021,cigar 00101,gruel 22222,,,,
shrug,4,slate 20000,corny 00200,cigar 00101,shrug 22222,,,,
treat,4,slate 00111,creek 02200,grade 02101,treat 22222,,,,
waste,4,slate 10122,bench 01000,humph 00000,waste 22222,,,,
merit,4,slate 00011,deter 02101,mimic 20020,merit 22222,,,,
woven,4,slate 00001,diner 00120,mucky 00000,woven 22222,,,,
octal,4,slate 01110,afoul 10102,bench 00010,octal 22222,,,,
needy,4,slate 00001,diner 10110,awake 00001,needy 22222,,,,
clown,4,slate 02000,frock 00210,rebut 00000,clown 22222,,,,
widow,4,slate 00000,round 01001,grime 00100,widow 22222,,,,
irony,4,slate 00000,round 11020,spicy 00102,irony 22222,,,,
ruder,4,slate 00001,diner 10021,rebut 11010,ruder 22222,,,,
gauze,4,slate 00102,grind 20000,rebut 01010,gauze 22222,,,,
onset,4,slate 10011,crust 00012,rebut 01002,onset 22222,,,,
prize,4,slate 00002,doing 00200,champ 00001,prize 22222,,,,
fungi,4,slate 00000,round 00110,pinch 01200,fungi 22222,,,,
charm,4,slate 00200,crowd 21000,cigar 20011,charm 22222,,,,
inter,4,slate 00011,deter 00222,focal 00000,inter 22222,,,,
whoop,4,slate 00000,round 01000,boozy 01200,whoop 22222,,,,
theme,4,slate 00011,deter 01110,evade 10002,theme 22222,,,,
tibia,4,slate 00110,taint 21100,cigar 01010,tibia 22222,,,,
booze,4,slate 00002,doing 01000,bravo 20001,booze 22222,,,,
doubt,4,slate 00010,trout 00112,model 02100,doubt 22222,,,,
parer,4,slate 00101,cyber 00021,nymph 00010,parer 22222,,,,
stick,4,slate 20010,input 10001,focal 00100,stick 22222,,,,
liege,4,slate 01001,newer 01010,cigar 02100,liege 22222,,,,
admit,4,slate 00110,taint 01102,humph 00200,admit 22222,,,,
brisk,4,slate 10000,missy 01020,bench 20000,brisk 22222,,,,
usurp,4,slate 10000,missy 00100,cigar 00001,usurp 22222,,,,
scald,4,slate 21200,hilly 00020,humph 00000,scald 22222,,,,
sting,4,slate 20010,input 11001,stink 22220,sting 22222,,,,
bough,4,slate 00000,round 02200,cluck 00200,bough 22222,,,,
dandy,4,slate 00100,minor 00200,bench 00200,dandy 22222,,,,
howdy,4,slate 00000,round 02001,grade 00020,howdy 22222,,,,
valid,4,slate 01100,minor 01000,radio 02120,valid 22222,,,,
ionic,4,slate 00000,round 02010,helix 00010,ionic 22222,,,,
equal,4,slate 01101,nerdy 01000,mogul 00012,equal 22222,,,,
unset,4,slate 10011,crust 00112,humph 01000,unset 22222,,,,
exist,4,slate 10011,crust 00022,rebut 01002,exist 22222,,,,
quirk,4,slate 00000,round 10100,birch 01100,quirk 22222,,,,
grove,4,slate 00002,doing 01001,humph 00000,grove 22222,,,,
libel,4,slate 01001,newer 00020,model 00021,libel 22222,,,,
inept,4,slate 00011,deter 01100,feign 01101,inept 22222,,,,
photo,4,slate 00020,briny 00000,humph 10010,photo 22222,,,,
